Date,Time,Open,High,Low,Close,Volume,MA_50,MA_200,Volatility,Daily_Return,RSI,Cumulative_Return
2005.07.28,00:00,424.5,428.8,424.1,427.6,836,425.846,429.126,2.3671212807783095,0.005880969183721385,58.68055555555553,1.113251757354852
2005.07.29,00:00,427.5,430.3,426.8,429.3,822,426.03,429.19599999999997,2.5909711652132423,0.003975678203928856,57.19424460431652,1.1176776881020531
2005.08.01,00:00,429.2,432.1,428.6,431.3,893,426.314,429.2660000000001,3.0300729537888706,0.004658746797111535,58.68055555555553,1.1228846654517015
2005.08.02,00:00,431.3,432.8,430.6,431.6,783,426.62,429.3325,3.4471154989611996,0.0006955715279388652,65.1515151515151,1.123665712054149
2005.08.03,00:00,432.45,437.1,431.1,436.2,1083,426.99000000000007,429.43700000000007,4.298650338985973,0.01065801668211308,81.95488721804509,1.1356417599583404
2005.08.04,00:00,436.3,438.8,435.1,437.0,1190,427.36400000000003,429.5255,5.027867079432857,0.0018340210912426436,81.17647058823525,1.1377245508982
2005.08.05,00:00,437.0,438.8,436.5,436.8,856,427.76,429.594,5.522325501760446,-0.0004576659038901809,82.14285714285714,1.1372038531632351
2005.08.08,00:00,436.7,437.3,433.8,434.6,914,428.06,429.6505,5.795016007427611,-0.005036630036630019,78.40909090909093,1.1314761780786218
2005.08.09,00:00,434.3,435.3,432.6,434.6,691,428.41600000000005,429.7050000000001,6.032323022904113,0.0,75.43103448275866,1.1314761780786218
2005.08.10,00:00,434.5,437.1,434.0,436.8,650,428.862,429.75,6.305425817252237,0.005062126092959085,75.10917030567688,1.1372038531632351
2005.08.11,00:00,437.0,446.8,436.8,445.3,1103,429.34200000000004,429.845,7.025210242220534,0.01945970695970689,83.98692810457521,1.1593335068992412
2005.08.12,00:00,446.0,449.1,443.5,445.7,934,429.82,429.9545,7.621879862055923,0.0008982708286546792,83.77483443708613,1.1603749023691707
2005.08.15,00:00,445.7,445.7,440.8,442.3,661,430.154,430.04699999999997,7.661858713615491,-0.007628449629795808,81.35048231511263,1.1515230408747683
2005.08.16,00:00,441.8,446.5,440.0,445.8,934,430.588,430.13550000000004,7.719236054377289,0.007913181098801791,82.04334365325086,1.1606352512366533
2005.08.17,00:00,445.3,445.7,437.8,440.3,1022,430.93,430.20300000000003,7.486331404284696,-0.012337371018393939,67.98866855524082,1.14631606352512
2005.08.18,00:00,439.8,442.0,437.5,439.3,884,431.25200000000007,430.29400000000004,7.290866672909975,-0.002271178741766966,64.45086705202317,1.1437125748502956
2005.08.19,00:00,438.2,440.2,435.6,435.8,817,431.43600000000004,430.34149999999994,6.893160225526625,-0.007967220578192546,56.23268698060944,1.1346003644884108
2005.08.22,00:00,436.1,440.2,435.5,437.6,774,431.624,430.384,6.503432292181897,0.004130335016062414,57.97872340425534,1.1392866441030944
2005.08.23,00:00,437.7,440.0,437.5,438.7,875,431.87200000000007,430.412,5.7614211514399205,0.0025137111517365973,53.66568914956012,1.142150481645401
2005.08.24,00:00,439.2,440.3,435.3,437.0,948,432.046,430.439,5.088025157175442,-0.0038750854798267342,50.0,1.1377245508981997
2005.08.25,00:00,437.1,439.5,436.8,437.8,690,432.1,430.454,4.561151747443766,0.0018306636155607237,51.40449438202248,1.1398073418380592
2005.08.26,00:00,438.0,439.6,436.0,437.2,648,432.10200000000003,430.4735,4.1167533196427035,-0.0013704888076747634,53.82352941176466,1.1382452486331647
2005.08.29,00:00,438.1,440.2,436.0,436.1,662,432.07199999999995,430.4835,3.8303325401946475,-0.0025160109789569285,52.136752136752136,1.135381411090858
2005.08.30,00:00,436.2,437.1,429.0,431.2,989,431.936,430.45300000000003,3.868152693885133,-0.011235955056179803,42.59259259259256,1.1226243165842191
2005.08.31,00:00,431.0,435.0,430.6,434.6,703,431.874,430.4460000000001,3.9300294628666714,0.007884972170686622,33.63914373088686,1.1314761780786218
2005.09.01,00:00,434.8,444.8,434.3,442.8,887,431.918,430.4635,4.047126986166685,0.018867924528301883,46.41975308641979,1.1528247852121807
2005.09.02,00:00,442.5,446.8,441.6,443.8,611,432.00800000000004,430.462,4.191127847206892,0.002258355916892496,51.968503937007874,1.155428273887005
2005.09.06,00:00,444.2,445.7,442.5,443.3,781,432.088,430.4705,4.176626692244696,-0.0011266336187472081,46.43874643874644,1.1541265295495928
2005.09.07,00:00,443.3,445.6,442.3,444.3,1141,432.272,430.459,4.165304689689686,0.0022558087074215916,56.53594771241829,1.1567300182244171
2005.09.08,00:00,444.2,449.3,443.3,446.7,752,432.474,430.45099999999996,4.374880449500952,0.005401755570560329,61.562499999999964,1.1629783910439953
2005.09.09,00:00,446.5,449.3,445.6,448.3,1560,432.75,430.45700000000005,4.601612989520165,0.00358182225207071,70.76411960132889,1.167143972923714
2005.09.12,00:00,449.8,451.3,446.6,449.2,2565,433.19800000000004,430.459,4.87123403797123,0.0020075842070041983,69.86301369863008,1.1694871127310558
2005.09.13,00:00,448.5,449.3,444.5,445.8,1358,433.584,430.4315,4.99658830972699,-0.0075690115761353205,61.26984126984131,1.1606352512366533
2005.09.14,00:00,446.1,450.3,446.0,450.3,794,434.12600000000003,430.41900000000004,5.32506239153524,0.010094212651413192,69.38775510204083,1.1723509502733624
2005.09.15,00:00,449.6,455.3,448.1,455.3,971,434.76800000000003,430.44399999999996,6.204283325172038,0.011103708638685372,72.72727272727272,1.1853683936474837
2005.09.16,00:00,454.8,459.8,453.8,459.3,952,435.474,430.4715,7.302377046303377,0.008785416209093011,76.37231503579956,1.1957823483467809
2005.09.19,00:00,458.8,468.1,458.2,463.8,1021,436.298,430.54900000000004,8.486799347101382,0.009797517962116364,80.57395143487857,1.2074980473834902
2005.09.20,00:00,463.6,470.6,463.3,464.1,1126,437.074,430.6105,9.426200886781661,0.0006468305304010435,90.41769041769047,1.2082790939859376
2005.09.21,00:00,465.1,472.3,463.6,471.6,1373,437.98,430.717,10.931310654795746,0.01616031027795728,91.2946428571429,1.2278052590471193
2005.09.22,00:00,472.3,475.0,462.8,465.2,1713,438.81200000000007,430.8445,11.366630524203691,-0.013570822731128196,76.04651162790695,1.211142931528244
2005.09.23,00:00,465.3,466.1,460.5,462.8,1132,439.684,430.9745,11.497838469632525,-0.005159071367153878,71.3963963963964,1.204894558708666
2005.09.26,00:00,462.2,467.1,458.6,466.1,1180,440.584,431.1365,11.647999602374751,0.007130509939498708,74.15254237288137,1.213486071335586
2005.09.27,00:00,466.1,466.1,457.6,462.7,1378,441.426,431.256,11.344156854386538,-0.007294571980261844,68.54838709677416,1.2046342098411833
2005.09.28,00:00,462.8,469.8,460.8,468.7,1033,442.408,431.42449999999997,10.709183221107232,0.012967365463583347,70.6766917293233,1.2202551418901288
2005.09.29,00:00,469.0,473.3,467.8,471.3,1124,443.37800000000004,431.577,10.266711665433249,0.005547258374226649,71.21771217712175,1.227024212444672
2005.09.30,00:00,471.3,474.1,467.3,468.8,1217,444.24799999999993,431.73800000000006,10.116328645474653,-0.00530447697856995,67.56272401433691,1.2205154907576112
2005.10.03,00:00,467.3,468.3,463.6,465.3,794,445.064,431.8595,9.710248248769284,-0.007465870307167277,67.44186046511625,1.2114032803957262
2005.10.04,00:00,465.1,469.1,464.1,465.8,1045,445.874,431.97799999999995,9.124582182220605,0.0010745755426606607,64.93256262042387,1.2127050247331383
